Bank,Country,Europe,Asia,North America,Canada,UK,Australia,Cum % of Assets Loaned since 2016,2020 Assets (Billions),Policy - Total Coal (0/80),Policy - Total O&G (0/120),Policy - Total Scores (0/200),FFF - total rank,FFF - European Rank,FFF - Asian Rank,FFF - North American Rank,FFF - Canadian Rank,FFF - UK Rank,FFF - 2016,FFF - 2017,FFF - 2018,FFF - 2019,FFF - 2020,FFF - 2016-2020,FFF - Compared To 2016,AOG - Rank,AOG - European Rank,AOG - Asian Rank,AOG - North American Rank,AOG - Canadian Rank,AOG - UK Rank,AOG - 2016,AOG - 2017,AOG - 2018,AOG - 2019,AOG - 2020,AOG - Total,AOG - Compared To 2016,CM - Rank,CM - European Rank,CM - Asian Rank,CM - North American Rank,CM - Canadian Rank,CM - UK Rank,CM - 2016,CM - 2017,CM - 2018,CM - 2019,CM - 2020,CM - Total,CM - Compared To 2016,CP - Rank,CP - European Rank,CP - Asian Rank,CP - North American Rank,CP - Canadian Rank,CP - UK Rank,CP - 2016,CP - 2017,CP - 2018,CP - 2019,CP - 2020,CP - Total,CP - Compared To 2016,FFE - Rank,FFE - European Rank,FFE - Asian Rank,FFE - North American Rank,FFE - Canadian Rank,FFE - UK Rank,FFE - 2016,FFE - 2017,FFE - 2018,FFE - 2019,FFE - 2020,FFE - Total,FFE - Compared To 2016,FOG - Rank,FOG - European Rank,FOG - Asian Rank,FOG - North American Rank,FOG - Canadian Rank,FOG - UK Rank,FOG - 2016,FOG - 2017,FOG - 2018,FOG - 2019,FOG - 2020,FOG - Total,FOG - Compared To 2016,LNG - Rank,LNG - European Rank,LNG - Asian Rank,LNG - North American Rank,LNG - Canadian Rank,LNG - UK Rank,LNG - 2016,LNG - 2017,LNG - 2018,LNG - 2019,LNG - 2020,LNG - Total,LNG - Compared To 2016,OOG - Rank,OOG - European Rank,OOG - Asian Rank,OOG - North American Rank,OOG - Canadian Rank,OOG - UK Rank,OOG - 2016,OOG - 2017,OOG - 2018,OOG - 2019,OOG - 2020,OOG - Total,OOG - Compared To 2016,TS - Rank,TS - European Rank,TS - Asian Rank,TS - North American Rank,TS - Canadian Rank,TS - UK Rank,TS - 2016,TS - 2017,TS - 2018,TS - 2019,TS - 2020,TS - Total,TS - Compared To 2016
Wells Fargo,us,,,TRUE,,,,11.6%,"$1,927.56",14.5,4,18.5,9,-,-,3,-,-,"$34,631,000,000.00","$54,812,000,000.00","$61,821,000,000.00","$45,684,000,000.00","$26,400,000,000.00","$223,349,000,000.00",Down,24,-,-,7,-,-,$0.00,"$200,841,957.00","$194,336,093.00","$2,649,592.58",$0.00,"$397,827,642.00",Equal,53,22,24,11,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,21,-,-,4,-,-,"$377,467,046.00","$531,252,610.00","$659,318,775.00","$369,140,727.00","$618,647,672.00","$2,555,826,830.00",Up,4,-,-,4,-,-,"$9,207,856,651.00","$13,497,425,662.00","$17,742,000,000.00","$16,753,000,000.00","$12,413,000,000.00","$69,614,000,000.00",Up,1,-,-,1,-,-,"$4,834,378,785.00","$11,492,000,000.00","$14,584,000,000.00","$13,168,000,000.00","$9,912,389,799.00","$53,991,000,000.00",Up,32,-,-,8,-,-,"$43,105,001.60","$92,918,227.40","$95,209,142.70","$156,583,700.00","$331,337,422.00","$719,153,493.00",Up,32,-,-,8,-,-,"$207,795,716.00","$223,783,118.00","$349,777,505.00","$220,083,123.00","$649,735,622.00","$1,651,175,083.00",Up,15,-,-,10,-,-,"$483,708,445.00","$144,148,315.00","$116,047,496.00","$106,397,149.00","$61,152,265.90","$911,453,671.00",Down
JPMorgan Chase,us,,,TRUE,,,,11.8%,"$2,687.38",12.5,5,17.5,1,-,-,1,-,-,"$63,729,000,000.00","$70,271,000,000.00","$67,396,000,000.00","$64,039,000,000.00","$51,300,000,000.00","$316,735,000,000.00",Down,1,-,-,1,-,-,"$359,310,103.00","$348,646,588.00","$460,408,449.00","$274,295,572.00","$835,182,217.00","$2,277,842,930.00",Up,15,-,-,1,-,-,"$43,268,878.10","$1,302,165,420.00","$154,714,326.00","$299,096,717.00","$100,183,105.00","$1,899,428,445.00",Up,15,-,-,2,-,-,"$481,236,345.00","$621,639,380.00","$934,451,128.00","$731,118,466.00","$648,376,668.00","$3,416,821,986.00",Up,1,-,-,1,-,-,"$32,532,012,495.00","$23,873,124,066.00","$26,589,000,000.00","$28,154,000,000.00","$31,638,000,000.00","$142,790,000,000.00",Down,2,-,-,2,-,-,"$10,832,000,000.00","$8,525,311,600.00","$12,952,000,000.00","$11,004,000,000.00","$8,917,955,465.00","$52,232,000,000.00",Down,3,-,-,3,-,-,"$1,881,926,281.00","$898,214,013.00","$1,466,603,248.00","$1,522,027,394.00","$2,042,708,510.00","$7,811,479,446.00",Up,2,-,-,1,-,-,"$7,589,079,657.00","$2,950,937,511.00","$2,214,284,915.00","$6,861,024,703.00","$9,454,431,526.00","$29,070,000,000.00",Up,3,-,-,3,-,-,"$2,246,708,841.00","$4,773,693,182.00","$1,290,076,202.00","$2,072,256,980.00","$1,758,394,003.00","$12,141,000,000.00",Down
Citi,us,,,TRUE,,,,12.2%,"$1,951.16",28.5,5,33.5,2,-,-,2,-,-,"$42,637,000,000.00","$47,102,000,000.00","$46,853,000,000.00","$52,496,000,000.00","$48,389,000,000.00","$237,477,000,000.00",Up,5,-,-,2,-,-,"$322,602,352.00","$47,902,132.90","$360,427,369.00","$285,760,724.00","$483,587,832.00","$1,500,280,411.00",Up,16,-,-,2,-,-,"$835,372,241.00","$161,902,168.00","$131,609,420.00","$261,804,679.00","$208,325,903.00","$1,599,014,410.00",Down,11,-,-,1,-,-,"$474,997,130.00","$1,624,100,624.00","$1,597,673,020.00","$1,008,055,626.00","$1,048,823,061.00","$5,753,649,461.00",Up,2,-,-,2,-,-,"$18,950,964,536.00","$14,817,155,042.00","$16,282,000,000.00","$27,941,000,000.00","$30,271,000,000.00","$108,260,000,000.00",Up,3,-,-,3,-,-,"$6,339,143,884.00","$6,503,641,023.00","$5,919,444,663.00","$10,598,000,000.00","$9,567,538,675.00","$38,928,000,000.00",Up,2,-,-,2,-,-,"$1,834,293,606.00","$1,287,662,163.00","$1,363,882,779.00","$1,717,654,353.00","$1,989,758,162.00","$8,193,251,063.00",Up,3,-,-,2,-,-,"$5,238,729,330.00","$2,378,814,328.00","$3,435,831,532.00","$6,540,516,356.00","$10,753,000,000.00","$28,347,000,000.00",Up,9,-,-,8,-,-,"$726,469,538.00","$1,021,378,605.00","$269,289,428.00","$493,273,036.00","$942,975,528.00","$3,453,386,134.00",Up
Bank of America,us,,,TRUE,,,,8.2%,"$2,434.08",18.5,3.5,22,3,-,-,4,-,-,"$37,670,000,000.00","$36,744,000,000.00","$33,808,000,000.00","$48,081,000,000.00","$42,149,000,000.00","$198,452,000,000.00",Up,13,-,-,3,-,-,"$207,883,182.00","$10,033,658.70","$250,275,424.00","$187,031,837.00","$320,573,566.00","$975,797,668.00",Up,24,-,-,6,-,-,"$44,692,892.80","$76,295,024.80","$74,714,325.50","$219,804,679.00","$263,512,330.00","$679,019,252.00",Up,16,-,-,3,-,-,"$527,752,282.00","$667,431,659.00","$538,125,494.00","$637,221,564.00","$841,219,841.00","$3,211,750,840.00",Up,3,-,-,3,-,-,"$17,790,596,680.00","$11,624,965,414.00","$13,735,000,000.00","$21,868,000,000.00","$27,492,000,000.00","$92,510,000,000.00",Up,4,-,-,4,-,-,"$5,041,506,940.00","$5,624,074,491.00","$7,716,237,164.00","$11,667,000,000.00","$8,857,243,091.00","$38,906,000,000.00",Up,4,-,-,4,-,-,"$1,087,399,655.00","$1,014,135,925.00","$674,260,724.00","$1,706,757,489.00","$2,072,305,753.00","$6,554,859,546.00",Up,4,-,-,3,-,-,"$7,036,635,661.00","$1,199,069,746.00","$1,782,260,762.00","$3,879,512,037.00","$10,620,000,000.00","$24,517,000,000.00",Up,8,-,-,7,-,-,"$742,052,363.00","$1,056,892,802.00","$269,130,292.00","$343,637,820.00","$1,198,391,550.00","$3,610,104,827.00",Up
Barclays,gb,TRUE,,,,TRUE,,9.6%,"$1,510.14",24,8,32,8,1,-,-,-,1,"$30,202,000,000.00","$30,730,000,000.00","$25,911,000,000.00","$30,353,000,000.00","$27,702,000,000.00","$144,897,000,000.00",Down,7,3,-,-,-,1,"$194,159,361.00","$26,660,120.20","$100,396,099.00","$372,795,129.00","$732,796,355.00","$1,426,807,064.00",Up,27,7,-,-,-,1,"$35,372,240.80","$76,295,024.80","$74,714,325.50","$142,394,075.00","$180,791,312.00","$509,566,978.00",Up,14,1,-,-,-,1,"$756,166,567.00","$577,086,782.00","$1,062,238,344.00","$917,950,151.00","$762,893,058.00","$4,076,334,903.00",Up,9,2,-,-,-,1,"$12,652,812,654.00","$8,084,508,209.00","$8,151,666,603.00","$11,722,000,000.00","$17,215,000,000.00","$57,826,000,000.00",Up,5,1,-,-,-,1,"$4,220,983,548.00","$4,786,461,883.00","$5,161,064,028.00","$4,379,039,829.00","$5,443,932,511.00","$23,991,000,000.00",Up,12,4,-,-,-,2,"$1,072,050,395.00","$436,855,706.00","$618,238,683.00","$529,745,818.00","$1,067,076,483.00","$3,723,967,084.00",Down,7,3,-,-,-,2,"$4,584,783,263.00","$972,086,083.00","$819,125,467.00","$2,673,947,636.00","$6,777,258,254.00","$15,827,000,000.00",Up,7,1,-,-,-,1,"$548,313,414.00","$1,896,236,658.00","$88,932,651.30","$586,604,136.00","$872,786,660.00","$3,992,873,519.00",Up
MUFG,jp,,TRUE,,,,,5.1%,"$2,892.97",4.5,1.5,6,6,-,1,-,-,-,"$25,304,000,000.00","$26,177,000,000.00","$35,404,000,000.00","$31,782,000,000.00","$29,070,000,000.00","$147,737,000,000.00",Up,12,-,6,-,-,-,"$6,150,140.39","$41,356,919.50","$268,913,092.00","$231,299,684.00","$495,130,669.00","$1,042,850,505.00",Up,26,-,14,-,-,-,"$35,372,240.80","$40,744,376.20","$56,167,120.20","$326,353,859.00","$86,018,479.80","$544,656,076.00",Up,12,-,11,-,-,-,"$1,380,437,724.00","$680,829,925.00","$1,213,234,492.00","$1,401,496,778.00","$1,052,108,313.00","$5,728,107,232.00",Down,6,-,1,-,-,-,"$7,987,918,135.00","$12,011,937,157.00","$13,088,000,000.00","$12,951,000,000.00","$14,087,000,000.00","$60,125,000,000.00",Up,6,-,1,-,-,-,"$2,215,624,698.00","$3,639,452,702.00","$6,123,719,626.00","$5,747,594,510.00","$4,049,312,906.00","$21,776,000,000.00",Up,8,-,3,-,-,-,"$1,406,725,591.00","$824,157,741.00","$613,364,483.00","$1,033,695,204.00","$1,216,310,917.00","$5,094,253,935.00",Down,13,-,3,-,-,-,"$1,976,047,813.00","$1,935,986,166.00","$627,587,396.00","$1,953,178,963.00","$4,012,642,595.00","$10,505,000,000.00",Up,12,-,1,-,-,-,"$69,422,862.60","$891,179,327.00","$142,691,005.00","$79,953,965.70","$387,382,726.00","$1,570,629,887.00",Up
Mizuho,jp,,TRUE,,,,,6.6%,"$1,874.89",4.5,0.5,5,11,-,2,-,-,-,"$21,268,000,000.00","$19,200,000,000.00","$28,730,000,000.00","$31,484,000,000.00","$22,791,000,000.00","$123,472,000,000.00",Up,15,-,8,-,-,-,"$93,316,031.40","$93,609,843.20","$263,618,949.00","$219,127,381.00","$156,833,450.00","$826,505,655.00",Up,38,-,16,-,-,-,"$35,372,240.80","$76,295,024.80","$56,167,120.20","$111,804,679.00","$90,393,995.30","$370,033,060.00",Up,13,-,12,-,-,-,"$849,502,895.00","$579,752,240.00","$1,093,858,140.00","$862,101,127.00","$795,942,288.00","$4,181,156,691.00",Down,10,-,2,-,-,-,"$9,053,027,774.00","$7,428,597,998.00","$11,535,000,000.00","$13,537,000,000.00","$11,832,000,000.00","$53,386,000,000.00",Up,7,-,2,-,-,-,"$2,462,517,678.00","$3,605,729,015.00","$5,624,648,399.00","$4,328,468,085.00","$3,734,751,205.00","$19,756,000,000.00",Up,6,-,2,-,-,-,"$1,226,401,748.00","$653,858,104.00","$770,167,409.00","$2,101,002,989.00","$1,708,918,297.00","$6,460,348,547.00",Up,9,-,1,-,-,-,"$2,618,518,522.00","$1,038,877,494.00","$1,985,661,754.00","$4,123,673,518.00","$2,873,274,906.00","$12,640,000,000.00",Up,18,-,2,-,-,-,"$166,382,268.00","$245,458,392.00","$123,665,505.00","$127,793,753.00","$79,924,259.50","$743,224,178.00",Down
Scotiabank,ca,,,TRUE,TRUE,,,13.0%,$872.62,0,2.5,2.5,19,-,-,7,3,-,"$18,765,000,000.00","$24,509,000,000.00","$28,033,000,000.00","$26,087,000,000.00","$16,452,000,000.00","$113,846,000,000.00",Down,49,-,-,10,4,-,$0.00,"$20,822,021.80",$0.00,$0.00,$0.00,"$20,822,021.80",Equal,42,-,18,9,4,-,"$35,372,240.80","$40,744,376.20","$56,167,120.20","$85,817,689.10","$86,018,479.80","$304,119,906.00",Up,24,-,-,5,1,-,"$306,694,051.00","$290,871,850.00","$453,539,347.00","$427,564,746.00","$326,450,536.00","$1,805,120,530.00",Up,12,-,-,7,3,-,"$6,435,515,614.00","$10,745,303,761.00","$12,318,000,000.00","$12,181,000,000.00","$6,645,110,978.00","$48,325,000,000.00",Up,8,-,-,5,1,-,"$2,516,331,092.00","$4,809,004,017.00","$5,508,884,826.00","$3,882,223,125.00","$1,544,991,574.00","$18,261,000,000.00",Down,15,-,-,7,2,-,"$511,041,663.00","$404,258,579.00","$599,964,522.00","$1,065,121,512.00","$709,012,146.00","$3,289,398,422.00",Up,27,-,-,6,1,-,"$91,045,162.60","$260,433,491.00","$375,878,451.00","$901,696,129.00","$1,014,354,353.00","$2,643,407,588.00",Up,6,-,-,6,5,-,"$1,299,797,011.00","$3,188,152,351.00","$1,252,943,327.00","$1,442,041,013.00","$1,465,876,500.00","$8,648,810,203.00",Up
RBC,ca,,,TRUE,TRUE,,,14.3%,"$1,116.31",15,2.5,17.5,15,-,-,5,1,-,"$29,322,000,000.00","$38,440,000,000.00","$37,656,000,000.00","$35,717,000,000.00","$18,994,000,000.00","$160,129,000,000.00",Down,43,-,-,8,2,-,$0.00,"$12,257,060.60","$16,382,931.00","$28,271,771.30","$10,141,893.30","$67,053,656.20",Up,36,-,-,7,2,-,"$35,372,240.80","$40,744,376.20","$56,167,120.20","$163,360,365.00","$86,018,479.80","$381,662,581.00",Up,25,-,-,6,2,-,"$352,910,163.00","$529,085,964.00","$44,951,009.80","$337,082,184.00","$509,070,675.00","$1,773,099,995.00",Up,5,-,-,5,1,-,"$11,337,219,638.00","$15,883,007,158.00","$11,906,000,000.00","$12,647,000,000.00","$9,332,940,977.00","$61,106,000,000.00",Down,9,-,-,6,2,-,"$2,228,336,459.00","$2,635,622,140.00","$3,768,662,998.00","$3,670,478,629.00","$3,705,843,891.00","$16,009,000,000.00",Up,11,-,-,5,1,-,"$714,707,437.00","$755,082,524.00","$713,272,296.00","$868,274,331.00","$688,108,832.00","$3,739,445,421.00",Down,29,-,-,7,2,-,"$602,876,012.00","$192,074,934.00","$256,195,633.00","$933,448,557.00","$369,120,971.00","$2,353,716,106.00",Down,2,-,-,2,2,-,"$2,776,384,493.00","$9,348,256,404.00","$3,648,426,204.00","$4,956,154,764.00","$1,793,375,587.00","$22,523,000,000.00",Down
Credit Suisse,ch,TRUE,,,,,,10.1%,$812.91,14,6,20,30,4,-,-,-,-,"$19,293,000,000.00","$21,932,000,000.00","$17,108,000,000.00","$14,384,000,000.00","$9,484,000,000.00","$82,201,000,000.00",Down,27,10,-,-,-,-,"$30,737,197.40",$0.00,"$147,045,993.00","$114,614,269.00","$15,639,195.70","$308,036,655.00",Down,12,1,-,-,-,-,"$69,410,212.40","$1,493,325,990.00","$425,878,261.00","$189,418,152.00","$226,954,152.00","$2,404,986,768.00",Up,18,3,-,-,-,-,"$702,639,851.00","$525,935,603.00","$425,445,150.00","$865,545,092.00","$577,534,092.00","$3,097,099,789.00",Down,22,7,-,-,-,-,"$8,819,459,290.00","$6,147,296,590.00","$4,762,263,284.00","$5,214,989,069.00","$3,629,732,626.00","$28,574,000,000.00",Down,10,2,-,-,-,-,"$5,367,245,224.00","$4,015,727,593.00","$2,709,157,323.00","$2,135,051,720.00","$1,781,027,786.00","$16,008,000,000.00",Down,21,10,-,-,-,-,"$964,084,661.00","$471,770,387.00","$534,491,820.00","$265,950,340.00","$246,706,307.00","$2,483,003,514.00",Down,21,9,-,-,-,-,"$1,058,549,126.00","$355,343,958.00","$621,047,492.00","$927,493,150.00","$781,885,428.00","$3,744,319,155.00",Down,16,5,-,-,-,-,"$105,132,938.00","$542,527,043.00","$114,239,579.00","$48,114,189.20","$27,764,205.50","$837,777,955.00",Down
TD,ca,,,TRUE,TRUE,,,11.0%,"$1,102.04",1.5,3.5,5,18,-,-,6,2,-,"$20,705,000,000.00","$29,605,000,000.00","$25,941,000,000.00","$27,944,000,000.00","$16,868,000,000.00","$121,063,000,000.00",Down,23,-,-,6,1,-,"$257,274,615.00",$0.00,"$143,217,247.00",$0.00,$0.00,"$400,491,862.00",Down,37,-,-,8,3,-,"$35,372,240.80","$40,744,376.20","$56,167,120.20","$85,817,689.10","$158,950,387.00","$377,051,814.00",Up,34,-,-,10,3,-,"$251,291,040.00","$170,226,929.00",$0.00,"$217,855,541.00","$233,109,100.00","$872,482,610.00",Down,7,-,-,6,2,-,"$9,758,573,849.00","$16,832,765,762.00","$10,911,000,000.00","$12,832,000,000.00","$9,115,043,962.00","$59,449,000,000.00",Down,11,-,-,7,3,-,"$1,494,131,951.00","$1,737,564,805.00","$2,764,160,776.00","$4,294,354,609.00","$3,537,179,131.00","$13,827,000,000.00",Up,52,-,-,11,4,-,$0.00,$0.00,"$8,405,134.29","$47,171,391.60",$0.00,"$55,576,525.90",Equal,41,-,-,9,3,-,"$359,804,295.00",$0.00,"$213,642,040.00","$112,049,944.00",$0.00,"$685,496,279.00",Down,1,-,-,1,1,-,"$3,301,303,562.00","$9,852,323,131.00","$3,954,469,262.00","$5,584,404,399.00","$1,529,191,419.00","$24,222,000,000.00",Down
